id,,Informasi umum,Nama entitas,Penjelasan perubahan nama dari akhir periode laporan sebelumnya,Kode entitas,Nomor identifikasi entitas,Industri utama entitas,Sektor,Subsektor,Informasi pemegang saham pengendali,Jenis entitas,Jenis efek yang dicatatkan,Jenis papan perdagangan tempat entitas tercatat,Apakah merupakan laporan keuangan satu entitas atau suatu kelompok entitas,Periode penyampaian laporan keuangan,Tanggal awal periode berjalan,Tanggal akhir periode berjalan,Tanggal akhir tahun sebelumnya,Tanggal awal periode sebelumnya,Tanggal akhir periode sebelumnya,Mata uang pelaporan,Kurs konversi pada tanggal pelaporan jika mata uang penyajian selain rupiah,Pembulatan yang digunakan dalam penyajian jumlah dalam laporan keuangan,Jenis laporan atas laporan keuangan,Jenis opini auditor,"Hal yang diungkapkan dalam paragraf pendapat untuk penekanan atas suatu masalah atau paragraf penjelasan lainnya, jika ada",Hasil penugasan review,Tanggal laporan audit atau hasil laporan review,Auditor tahun berjalan,Nama partner audit tahun berjalan,Lama tahun penugasan partner yang menandatangani,Auditor tahun sebelumnya,Nama partner audit tahun sebelumnya,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII G 11 tentang tanggung jawab direksi atas laporan keuangan,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII A dua tentang independensi akuntan yang memberikan jasa audit di pasar modal
2018AuditBOSSFinancialStatement2018TahunanBOSSxlsx.xlsx,31 December 2018,,PT Borneo Olah Sarana Sukses Tbk.,,BOSS,AA802,Umum / General,2. Mining,21. Coal Mining,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Tanubrata Sutanto Fahmi Bambang dan Rekan,"Dr. Jamaludin Iskak, Msi, Ak.CPI, CA, CPA",,"Jamaludin, Aria, Sukimto & Rekan","Dr. Jamaludin Iskak, Msi, Ak.CPI, CA, CPA",Ya / Yes,Ya / Yes
2018AuditBPFIFinancialStatement2018TahunanBPFIxlsx.xlsx,31 December 2018,,Batavia Prosperindo Finance Tbk,0,BPFI,AA530,Pembiayaan / Financing,8. Finance,82. Financial Institution,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,0.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,0,0,"March 06, 2019","Kosasih, Nurdiyaman, Tjahjo & Rekan","Drs. Emanuel Handojo Pranadjaja, CA, CPA",2,"Kosasih, Nurdiyaman, Tjahjo & Rekan","Drs. Emanuel Handojo Pranadjaja, CA, CPA",Ya / Yes,Ya / Yes
2018AuditBPIIFinancialStatement2018TahunanBPIIxlsx.xlsx,31 December 2018,,PT Batavia Prosperindo Internasional Tbk.,,BPII,AA689,Umum / General,8. Finance,89. Others - Finance,Foreign Corporation,Foreign Company,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 08, 2019","Kosasih, Nurdiyaman, Tjahjo & Rekan","Emanuel Handojo Pranadjaja, CPA",,"Kosasih, Nurdiyaman, Tjahjo & Rekan","Juninho Wijaja, CPA",Ya / Yes,Ya / Yes
2018AuditBPTRFinancialStatement2018TahunanBPTRxlsx.xlsx,31 December 2018,,PT Batavia Prosperindo Trans Tbk.,,BPTR,AA830,Umum / General,"7. Infrastructure, Utilities And Transportation",74. Transportation,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 22, 2019","Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Emanuel Handojo Pranadjaja, CA, CPA",,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan","Drs. Emanuel Handojo Pranadjaja, CA, CPA",Ya / Yes,Ya / Yes
2018AuditBRAMFinancialStatement2018TahunanBRAMxlsx.xlsx,31 December 2018,,Indo Kordsa Tbk,,BRAM,AA120,Umum / General,4. Miscellaneous Industry,42. Automotive And Components,Foreign Corporation,Foreign Company,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 22, 2019",Siddharta Widjaja & Rekan,"Kartika Singodimejo, S.E., CPA",,Siddharta Widjaja & Rekan,"Samsul Erni, S.E., CPA, CA",Ya / Yes,Ya / Yes
2018AuditBRISFinancialStatement2018TahunanBRISxlsx.xlsx,31 December 2018,,PT Bank BRIsyariah Tbk,,BRIS,AA744,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 25, 2019","Purwantono, Sungkoro & Surja","Danil Setiadi Handaja, CPA",,"Purwantono,Sungkoro,& Surja","Danil Setiadi Handaja, CPA",Ya / Yes,Ya / Yes
2018AuditBRMSFinancialStatement2018TahunanBRMSxlsx.xlsx,31 December 2018,,Bumi Resources Minerals Tbk,,BRMS,AA567,Umum / General,"9. Trade, Services & Investment",98. Investment Company,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,Kegiatan operasi entitas anak dan keberlangsungan usaha,,"March 11, 2019","Amir Abadi Jusuf, Aryanto, Mawar & Rekan",Rudi Hartono Purba,,"Aryanto, Amir Jusuf, Mawar & Saptoto",Rudi Hartono Purba,Ya / Yes,Ya / Yes
2018AuditBRNAFinancialStatement2018TahunanBRNAxlsx.xlsx,31 December 2018,,Berlina Tbk,,BRNA,AA046,Umum / General,3. Basic Industry And Chemicals,35. Plastics & Packaging,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"April 02, 2019",Hendrawinata Hanny Erwin & Sumargo,"Iskariman Supardjo, CPA",,Hendrawinata Hanny Erwin & Sumargo,"Iskariman Supardjo, CPA",Ya / Yes,Ya / Yes
2018AuditBRPTFinancialStatement2018TahunanBRPTxlsx.xlsx,31 December 2018,,Barito Pacific Tbk,,BRPT,AA174,Umum / General,3. Basic Industry And Chemicals,34. Chemicals,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Satrio Bing Eny & Rekan,Alvin Ismanto,1,Satrio Bing Eny & Rekan,"Bing Harianto, SE.",Ya / Yes,Ya / Yes
2018AuditBSDEFinancialStatement2018TahunanBSDExlsx.xlsx,31 December 2018,,PT Bumi Serpong Damai Tbk,,BSDE,AA515,Properti / Property,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 15, 2019",Mirawati Sensi Idris,Leo Susanto,,Mirawati Sensi Idris,Leo Susanto,Ya / Yes,Ya / Yes
2018AuditBSIMFinancialStatement2018TahunanBSIMxlsx.xlsx,31 December 2018,,Bank Sinarmas Tbk,,BSIM,AA568,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 20, 2019",Mirawati Sensi Idris,Yelly Warsono,,Mirawati Sensi Idris,Yelly Warsono,Ya / Yes,Ya / Yes
2018AuditBSSRFinancialStatement2018TahunanBSSRxlsx.xlsx,31 December 2018,,Baramulti Suksessarana Tbk,,BSSR,AA627,Umum / General,2. Mining,21. Coal Mining,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 27, 2019",Aria Kanaka & Rekan,Aria Kanaka,,Aria Kanaka & Rekan,Dudi Hadi Santoso,Ya / Yes,Ya / Yes
2018AuditBSWDFinancialStatement2018TahunanBSWDxlsx.xlsx,31 December 2018,,Bank of India Indonesia Tbk,,BSWD,AA389,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,2019-03-20,Gani Sigiro & Handayani,Tagor Sidik Sigiro,,Gani Sigiro & Handayani,Renie Feriana,Ya / Yes,Ya / Yes
2018AuditBTEKFinancialStatement2018TahunanBTEKxlsx.xlsx,31 December 2018,,Bumi Teknokultura Unggul Tbk,,BTEK,AA439,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,Indonesian Government,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Kanaka Puradiredja, Suhartono","Adeyana Widjaja, CPA",,Morhan & Rekan,"David Kurniawan, CPA",Ya / Yes,Ya / Yes
2018AuditBTELFinancialStatement2018TahunanBTELxlsx.xlsx,31 December 2018,,Bakrie Telecom Tbk,,BTEL,AA465,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",73. Telecommunication,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,14481.0,Jutaan / In Million,Diaudit / Audited,Tidak Memberikan Pendapat / Disclaimer,,,"May 17, 2019","Krisnawan, Nugroho & Fahmy",Fahmy,,"Doli, Bambang, Sulistiyanto, Dadang & Ali",Dadang Mulyana,Ya / Yes,Ya / Yes
2018AuditBTONFinancialStatement2018TahunanBTONxlsx.xlsx,31 December 2018,,Betonjaya Manunggal Tbk,,BTON,AA364,Umum / General,3. Basic Industry And Chemicals,33. Metal And Allied Products,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"April 11, 2019","Hadori, Sugiarto, Adi & Rekan",Yudianto Prawiro Silianto,,"Aryanto, Amir Jusuf, Mawar & Saptoto",Rusli,Ya / Yes,Ya / Yes
2018AuditBTPNFinancialStatement2018TahunanBTPNxlsx.xlsx,31 December 2018,,PT BANK TABUNGAN PENSIUNAN NASIONAL Tbk,,BTPN,AA510,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"January 23, 2019","Tanudiredja, Wibisana & Rekan",Jimmy Pangestu,,"Tanudiredja, Wibisana & Rekan",Angelique Dewi Daryanto,Ya / Yes,Ya / Yes
2018AuditBTPSFinancialStatement2018TahunanBTPSxlsx.xlsx,31 December 2018,,PT Bank Tabungan Pensiunan Nasional Syariah Tbk.,,BTPS,AA812,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"January 22, 2019","Tanuderedja, Wibisana, Rintis & Rekan","Angelique Dewi Daryanto, S.E.,CPA",,"Tanudiredja, Wibisana & Rekan","Drs. M. Jusuf Wibisana, M.Ec.,CPA",Ya / Yes,
2018AuditBUDIFinancialStatement2018TahunanBUDIxlsx.xlsx,31 December 2018,,PT Budi Starch & Sweetener Tbk.,,BUDI,AA235,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 20, 2019",Mirawati Sensi Idris,Leo Susanto,3rd,Mirawati Sensi Idris,Leo Susanto,Ya / Yes,Ya / Yes
2018AuditBUKKFinancialStatement2018TahunanBUKKxlsx.xlsx,31 December 2018,,Bukaka Teknik Utama Tbk,,BUKK,AA229,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",75. Non Building Construction,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 08, 2019",Rama Wendra,Mimando,,Rama Wendra,Mimando,Ya / Yes,Ya / Yes
2018AuditBULLFinancialStatement2018TahunanBULLxlsx.xlsx,31 December 2018,,PT Buana Lintas Lautan Tbk.,,BULL,AA580,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",74. Transportation,No Controlling Shareholder,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019","Tanubrata, Sutanto, Fahmi & Rekan","Nanda Priyatna Harahap, S.E., Ak., CPA., CA",,Tanubrata Sutanto Fahmi dan Rekan,"Kasner Sirumapea, S.E., Ak., CPA",Ya / Yes,Ya / Yes
2018AuditBUMIFinancialStatement2018TahunanBUMIxlsx.xlsx,31 December 2018,,Bumi Resources Tbk,,BUMI,AA109,Umum / General,2. Mining,21. Coal Mining,National and Foreign Corporation,Foreign Company,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Amir Abadi Jusuf, Aryanto, Mawar & Rekan",Rudi Hartono Purba,1,"Amir Abadi Jusuf, Aryanto, Mawar & Rekan",Rudi Hartono Purba,Ya / Yes,Ya / Yes
2018AuditBUVAFinancialStatement2018TahunanBUVAxlsx.xlsx,31 December 2018,,PT Bukit Uluwatu Villa Tbk,,BUVA,AA557,Umum / General,"9. Trade, Services & Investment","94. Tourism, Restaurant And  Hotel",National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 18, 2019","Tanubrata, Sutanto, Fahmi, Bambang dan Rekan",Raden Ginandjar,1,"Purwantono, Suherman & Surja",Sinarta,Ya / Yes,Ya / Yes
2018AuditBVICFinancialStatement2018TahunanBVICxlsx.xlsx,31 December 2018,,Bank Victoria International Tbk,,BVIC,AA311,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 20, 2019","Tanudiredja, Wibisana & Rekan",M. Jusuf Wibisana,,"Tanudiredja, Wibisana & Rekan",M. Jusuf Wibisana,Ya / Yes,Ya / Yes
2018AuditBWPTFinancialStatement2018TahunanBWPTxlsx.xlsx,31 December 2018,,Eagle High Plantations Tbk,,BWPT,AA536,Umum / General,1. Agriculture,12. Plantation,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Satrio Bing Eny & Rekan,Riniek Winarsih,,Satrio Bing Eny & Rekan,Riniek Winarsih,Ya / Yes,Tidak / No
2018AuditBYANFinancialStatement2018TahunanBYANxlsx.xlsx,31 December 2018,,Bayan Resources Tbk,,BYAN,AA524,Umum / General,2. Mining,21. Coal Mining,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 22, 2019","Tanudiredja, Wibisana, Rintis & Rekan","Yusron, SE., Ak., CPA.",1 tahun,"Tanudiredja, Wibisana, Rintis & Rekan","Yusron, SE., Ak., CPA.",Ya / Yes,Ya / Yes
2018AuditCAKKFinancialStatement2018TahunanCAKKxlsx.xlsx,31 December 2018,,PT Cahayaputra Asa Keramik Tbk.,,CAKK,AA859,Umum / General,3. Basic Industry And Chemicals,"32. Ceramics, Glass, Porcelain",No Controlling Shareholder,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 08, 2019",Morhan & Rekan,"Morhan Tirtonadi, CPA",3,Morhan & Rekan,"Morhan Tironadi, CPA",Ya / Yes,Ya / Yes
2018AuditCAMPFinancialStatement2018TahunanCAMPxlsx.xlsx,31 December 2018,,PT Campina Ice Cream Industry Tbk.,,CAMP,AA797,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 29, 2019","Supoyo, Sutjahjo, Subyantara & Rekan",-,,"Supoyo, Sutjahjo, Subyantara & Rekan",-,Ya / Yes,Ya / Yes
2018AuditCANIFinancialStatement2018TahunanCANIxlsx.xlsx,30 June 2019,,PT Capitol Nusantara Indonesia Tbk.,,CANI,AA674,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",74. Transportation,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,,Entitas tunggal / Single entity,Tahunan / Annual,2018-07-01,2019-06-30,2018-06-30,2017-07-01,2018-06-30,Dollar Amerika / USD,14141.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"September 27, 2019",Rama Wendra,"Mimando, SE., Ak., CPA, CA",1,"Paul Hadiwinata, Hidajat, Arsono , Ade Fatma, & Rekan",Yosef Kresna Budi,Ya / Yes,Ya / Yes
2018AuditCARSFinancialStatement2018TahunanCARSxlsx.xlsx,31 December 2018,,PT Industri dan Perdagangan Bintraco Dharma Tbk,,CARS,AA752,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Amir Abadi Jusuf, Aryanto, Mawar & Rekan",Didik Wahyudiyanto,2,"Amir Abadi Jusuf, Aryanto, Mawar & Rekan",Didik Wahyudiyanto,Ya / Yes,Ya / Yes
2018AuditCASSFinancialStatement2018TahunanCASSxlsx.xlsx,31 December 2018,,Cardig Aero Services Tbk,,CASS,AA599,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation","72. Toll Road, Airport, Harbor And Allied Products",National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,14 Mei 2019,"Amir Abadi Jusuf, Aryanto, Mawar & Rekan",Rusli,,"Aryanto, Amir Jusuf, Mawar & Saptoto",Riki Afrianof,Ya / Yes,Ya / Yes
2018AuditCEKAFinancialStatement2018TahunanCEKAxlsx.xlsx,31 December 2018,,PT Wilmar Cahaya Indonesia Tbk.,,CEKA,AA257,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,National and Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 15, 2019","Purwantono, Suherman & Surja",Agung Purwantono,,"Purwantono, Sungkoro dan Surja",Agung Purwanto,Ya / Yes,Ya / Yes
2018AuditCENTFinancialStatement2018TahunanCENTxlsx.xlsx,31 December 2018,,PT Centratama Telekomunikasi Indonesia Tbk.,,CENT,AA373,Infrastruktur / Infrastructure,"7. Infrastructure, Utilities And Transportation",75. Non Building Construction,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 26, 2019","Purwantono, Sungkoro & Surja",Sherly Jokom,,"Purwantono, Suherman & Surja",Muhammad Kurniawan,Ya / Yes,Ya / Yes
2018AuditCFINFinancialStatement2018TahunanCFINxlsx.xlsx,31 December 2018,,Clipan Finance Indonesia Tbk,,CFIN,AA118,Pembiayaan / Financing,8. Finance,82. Financial Institution,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 15, 2019",Satrio Bing Eny & Rekan,Muhammad Irfan,,Satrio Bing Eny & Rekan,Muhammad Irfan,Ya / Yes,Ya / Yes
2018AuditCINTFinancialStatement2018TahunanCINTxlsx.xlsx,31 December 2018,,PT Chitose Internasional Tbk,,CINT,AA687,Umum / General,5. Consumer Goods Industry,55. Houseware,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 15, 2019","Kantor Akuntan Publik Teramihardja, Pradhono & Chandra","Drs. Nursal, Ak., CA., CPA",1,"Kantor Akuntan Publik Teramihardja, Pradhono & Chandra",Fitra,Ya / Yes,Ya / Yes
2018AuditCITAFinancialStatement2018TahunanCITAxlsx.xlsx,31 December 2018,,Cita Mineral Investindo Tbk,,CITA,AA382,Umum / General,2. Mining,23. Metal And Mineral Mining,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 11, 2019","Teramihardja, Pradhono & Chandra",Drs. Nursal Ak CPA,,"Teramihardja, Pradhono & Chandra",Fitradewata Teramihardja,Ya / Yes,Ya / Yes
2018AuditCITYFinancialStatement2018TahunanCITYxlsx.xlsx,31 December 2018,,PT Natura City Developments Tbk.,,CITY,AA848,Properti / Property,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 08, 2019",Tanubrata Sutanto Fahmi Bambang dan Rekan,"Martinus Arifin, S.E., Ak., CPA., CA",,Tanubrata Sutanto Fahmi dan Rekan,"Martinus Arifin, S.E. AK. CPA. CA",Ya / Yes,Ya / Yes
